time,step-size,{Cacc1FMU}.Cacc1FMUInstance.accdes,{Cacc2FMU}.Cacc2FMUInstance.accdes,{Cacc3FMU}.Cacc3FMUInstance.accdes,{Cacc4FMU}.Cacc4FMUInstance.accdes,{LeaderPlantFMU}.LeaderPlantFMUInstance.acc,{LeaderPlantFMU}.LeaderPlantFMUInstance.speed,{LeaderPlantFMU}.LeaderPlantFMUInstance.x,{Parameters}.ParametersInstance.C1_weight_1,{Parameters}.ParametersInstance.controllerBandwidth_1,{Parameters}.ParametersInstance.dampingRatio_1,{Parameters}.ParametersInstance.precVehicleLenght_1,{Parameters}.ParametersInstance.targetDistance_1,{PlantFMU}.PlantFMUInstance1.acc,{PlantFMU}.PlantFMUInstance1.speed,{PlantFMU}.PlantFMUInstance1.x,{PlantFMU}.PlantFMUInstance2.acc,{PlantFMU}.PlantFMUInstance2.speed,{PlantFMU}.PlantFMUInstance2.x,{PlantFMU}.PlantFMUInstance3.acc,{PlantFMU}.PlantFMUInstance3.speed,{PlantFMU}.PlantFMUInstance3.x,{PlantFMU}.PlantFMUInstance4.acc,{PlantFMU}.PlantFMUInstance4.speed,{PlantFMU}.PlantFMUInstance4.x
34.07000000000179,0.01,1.487993597984314,1.6918299198150635,1.7581504583358765,1.6895653009414673,1.210100160850398,14.187239420586632,841.4996363988764,0.5,0.2,1.0,4.0,15.0,1.5298779622534358,13.688882404824227,820.5159246802507,1.705531748412408,13.128687061491876,800.2981239473861,1.7099121838711857,12.753484933827261,780.151343570512,1.58960643469748,12.76262946847448,758.8462300333049
34.08000000000179,0.01,1.4887911081314087,1.692616581916809,1.759621262550354,1.6919283866882324,1.212056998247906,14.199350148285587,841.6415693320678,0.5,0.2,1.0,4.0,15.0,1.5312543205500235,13.704187986264277,820.6528900217432,1.7073858761278942,13.145751585176747,800.4294961264875,1.7128885474442581,12.77059888032958,780.2789639671021,1.5935113656865747,12.778544973676091,758.9739358759086
34.09000000000179,0.01,1.4896676540374756,1.6934819221496582,1.7611632347106934,1.6943713426589966,1.2140868723072142,14.21148080424693,841.7836234716355,0.5,0.2,1.0,4.0,15.0,1.532732750319728,13.719507855724762,820.7900084897379,1.7093553826644279,13.162835245264679,800.561039045816,1.7159388311340935,12.7877429800385,780.4067556532922,1.597489221551149,12.794499918619064,759.1018010701354
34.100000000001785,0.01,1.4906221628189087,1.6944340467453003,1.7627946138381958,1.69688081741333,1.216185048230326,14.22363209560134,841.9257990204271,0.5,0.2,1.0,4.0,15.0,1.5343053657992087,13.734842975792827,820.9272802319592,1.7114022740456234,13.179938927528747,800.6927529012187,1.7190722760586359,12.804918025016958,780.5347189345978,1.6015520254080182,12.810495088034644,759.2298260143277
34.11000000000178,0.01,1.491639494895935,1.6954679489135742,1.764492154121399,1.6994664669036865,1.2128624052103325,14.235777100921931,842.0680960913471,0.5,0.2,1.0,4.0,15.0,1.5304849489759456,13.750166686460874,821.0647053087667,1.7080483901660648,13.197035889506463,800.8246378003347,1.7167988295137728,12.822097198374582,780.6628540275435,1.600198207392085,12.826503662708447,759.3580110177869
34.12000000000178,0.01,1.4872430562973022,1.691089153289795,1.760777235031128,1.696628212928772,1.2097939635217758,14.247890180315164,842.2105144507494,0.5,0.2,1.0,4.0,15.0,1.5269501441430469,13.765453616833097,821.2022834366365,1.7049724576820589,13.214100682960797,800.9566935061441,1.714794689568808,12.839254976360525,780.7911608032223,1.5991273412622746,12.842500100284493,759.4863560442866
34.13000000000178,0.01,1.4830983877182007,1.686980962753296,1.7573214769363403,1.6940524578094482,1.2069837327982675,14.259973861049856,842.3530537920902,0.5,0.2,1.0,4.0,15.0,1.5235534588729782,13.78070594726894,821.3400142607956,1.7020015408814826,13.231135378828647,801.088919709445,1.712911569497722,12.856393309850947,780.9196390593778,1.5981625342685937,12.858486392388434,759.6148609844361
34.14000000000178,0.01,1.479210615158081,1.6830676794052124,1.7540459632873535,1.6916583776474,1.2044095954937961,14.27203059654767,842.4957138337227,0.5,0.2,1.0,4.0,15.0,1.5203343483244882,13.795925184324862,821.4778974414108,1.6992215253086296,13.24814139319812,801.2213161149282,1.7111834202961516,12.873513604966622,781.0482886073937,1.5973687027456407,12.874463902923367,759.7435257423216
34.150000000001775,0.01,1.47556471824646,1.679359793663025,1.7509771585464478,1.689457893371582,1.2020628014140495,14.284062751383711,842.6384943180574,0.5,0.2,1.0,4.0,15.0,1.5172863296967807,13.81111311402229,821.6159326564731,1.6966208665125682,13.265120435434502,801.3538824444197,1.7096239338339334,12.89061748371602,781.1771092750396,1.596733256715231,12.890434256704168,759.8723502383049
34.16000000000177,0.01,1.4721457958221436,1.6758475303649902,1.7481075525283813,1.6874511241912842,1.199945086094536,14.296072604662882,842.7813950107445,0.5,0.2,1.0,4.0,15.0,1.5144196473604832,13.82627148776366,821.7541196016956,1.6941646856087629,13.282074186165358,801.4866184366039,1.7082220116003837,12.907706543492345,781.3061009061701,1.5962553722302308,12.906399035793376,760.0013344087512
34.17000000000177,0.01,1.4689571857452393,1.6725397109985352,1.7454235553741455,1.6856331825256348,1.198043686348229,14.308062363014777,842.9244156998684,0.5,0.2,1.0,4.0,15.0,1.511723108100936,13.841402037305384,821.8924579902146,1.6918801775487402,13.299004270899987,801.6195238467036,1.7069740118034955,12.92478234832756,781.4352633604408,1.5959310890442167,12.922359791949818,760.1304782056978
34.18000000000177,0.01,1.465987205505371,1.669426441192627,1.742927074432373,1.6839960813522339,1.1963516822395817,14.320034153765068,843.0675561951731,0.5,0.2,1.0,4.0,15.0,1.5091952367847101,13.856506461351012,822.0309475522976,1.6897553788161301,13.315912297931892,801.7525984461395,1.705877791452878,12.94184642913501,781.5645965129808,1.5957492973775997,12.938318048416729,760.2597815965361
